State,Date,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
NY,2024-07,Passenger,8,1,9,272,281,3.202846975088968
NY,2024-08,Passenger,8,1,9,257,266,3.3834586466165413
NY,2024-09,Passenger,7,1,8,255,263,3.041825095057034
NY,2024-10,Passenger,7,1,8,244,252,3.1746031746031744
OH,2020-01,Passenger,0,2,2,51,53,3.7735849056603774
OH,2020-02,Passenger,0,2,2,50,52,3.8461538461538463
OH,2020-03,Passenger,0,2,2,48,50,4.0
OH,2020-04,Passenger,0,2,2,48,50,4.0
OH,2020-05,Passenger,0,2,2,49,51,3.9215686274509802
OH,2020-06,Passenger,0,2,2,50,52,3.8461538461538463
OH,2020-07,Passenger,0,2,2,50,52,3.8461538461538463
OH,2020-08,Passenger,0,2,2,49,51,3.9215686274509802
OH,2020-09,Passenger,0,2,2,49,51,3.9215686274509802
OH,2020-10,Passenger,0,2,2,50,52,3.8461538461538463
OH,2020-11,Passenger,0,2,2,54,56,3.571428571428571
OH,2020-12,Passenger,0,2,2,54,56,3.571428571428571
OH,2021-01,Passenger,0,2,2,56,58,3.4482758620689653
OH,2021-02,Passenger,0,2,2,57,59,3.389830508474576
OH,2021-03,Passenger,0,2,2,58,60,3.3333333333333335
OH,2021-04,Passenger,1,2,3,136,139,2.158273381294964
OH,2021-05,Passenger,1,2,3,133,136,2.2058823529411766
OH,2021-06,Passenger,1,2,3,132,135,2.2222222222222223
OH,2021-07,Passenger,1,2,3,130,133,2.2556390977443606
OH,2021-08,Passenger,1,2,3,133,136,2.2058823529411766
OH,2021-09,Passenger,1,2,3,135,138,2.1739130434782608
OH,2021-10,Passenger,2,2,4,172,176,2.272727272727273
OH,2021-11,Passenger,2,2,4,121,125,3.2
OH,2021-12,Passenger,2,2,4,119,123,3.2520325203252036
OH,2022-01,Passenger,2,2,4,112,116,3.4482758620689653
OH,2022-02,Passenger,2,2,4,113,117,3.418803418803419
OH,2022-03,Passenger,2,2,4,117,121,3.3057851239669422
OH,2022-04,Passenger,2,2,4,115,119,3.361344537815126
OH,2022-05,Passenger,2,1,3,109,112,2.6785714285714284
OH,2022-06,Passenger,2,1,3,108,111,2.7027027027027026
OH,2022-07,Passenger,2,1,3,106,109,2.7522935779816518
OH,2022-08,Passenger,2,1,3,106,109,2.7522935779816518
OH,2022-09,Passenger,2,1,3,107,110,2.727272727272727
OH,2022-10,Passenger,2,1,3,107,110,2.727272727272727
OH,2022-11,Passenger,2,0,2,100,102,1.9607843137254901
OH,2022-12,Passenger,2,0,2,98,100,2.0
OH,2023-01,Passenger,2,0,2,97,99,2.0202020202020203
OH,2023-02,Passenger,2,0,2,95,97,2.0618556701030926
OH,2023-03,Passenger,2,0,2,93,95,2.1052631578947367
OH,2023-04,Passenger,2,0,2,92,94,2.127659574468085
OH,2023-05,Passenger,2,0,2,91,93,2.1505376344086025
OH,2023-06,Passenger,2,0,2,89,91,2.197802197802198
OH,2023-07,Passenger,2,0,2,86,88,2.272727272727273
OH,2023-08,Passenger,2,0,2,82,84,2.380952380952381
OH,2023-09,Passenger,2,0,2,78,80,2.5
OH,2023-10,Passenger,2,0,2,75,77,2.5974025974025974
OH,2023-11,Passenger,2,1,3,114,117,2.564102564102564
OH,2023-12,Passenger,2,1,3,113,116,2.586206896551724
OH,2024-01,Passenger,2,1,3,111,114,2.631578947368421
OH,2024-02,Passenger,3,1,4,107,111,3.6036036036036037
OH,2024-03,Passenger,2,1,3,65,68,4.411764705882353
OH,2024-04,Passenger,3,1,4,106,110,3.6363636363636362
OH,2024-05,Passenger,3,1,4,105,109,3.669724770642202
OH,2024-06,Passenger,3,1,4,102,106,3.7735849056603774
OH,2024-07,Passenger,3,1,4,99,103,3.8834951456310676
OH,2024-08,Passenger,3,1,4,99,103,3.8834951456310676
OH,2024-09,Passenger,3,1,4,94,98,4.081632653061225
OH,2024-10,Passenger,3,1,4,89,93,4.301075268817205
OK,2020-01,Passenger,2,2,4,205,209,1.9138755980861244
OK,2020-02,Passenger,2,2,4,205,209,1.9138755980861244
OK,2020-03,Passenger,2,2,4,205,209,1.9138755980861244
OK,2020-04,Passenger,2,2,4,201,205,1.951219512195122
OK,2020-05,Passenger,2,1,3,66,69,4.3478260869565215
OK,2020-06,Passenger,2,1,3,65,68,4.411764705882353
OK,2020-07,Passenger,2,1,3,64,67,4.477611940298507
OK,2020-08,Passenger,2,1,3,64,67,4.477611940298507
OK,2020-09,Passenger,2,1,3,63,66,4.545454545454546
OK,2020-10,Passenger,2,1,3,63,66,4.545454545454546
OK,2020-11,Passenger,2,1,3,62,65,4.615384615384616
OK,2020-12,Passenger,2,1,3,62,65,4.615384615384616
OK,2021-01,Passenger,2,1,3,62,65,4.615384615384616
OK,2021-02,Passenger,2,1,3,63,66,4.545454545454546
OK,2021-03,Passenger,2,0,2,63,65,3.076923076923077
OK,2021-04,Passenger,2,0,2,60,62,3.225806451612903
OK,2021-05,Passenger,2,0,2,58,60,3.3333333333333335
OR,2020-01,Passenger,13,8,21,1703,1724,1.2180974477958235
OR,2020-02,Passenger,13,8,21,1707,1728,1.215277777777778
OR,2020-03,Passenger,13,8,21,1697,1718,1.2223515715948778
OR,2020-04,Passenger,13,7,20,1665,1685,1.1869436201780417
OR,2020-05,Passenger,13,7,20,1648,1668,1.1990407673860912
OR,2020-06,Passenger,13,7,20,1631,1651,1.2113870381586918
OR,2020-07,Passenger,13,7,20,1617,1637,1.2217470983506415
OR,2020-08,Passenger,12,7,19,1750,1769,1.0740531373657434
OR,2020-09,Passenger,12,7,19,1739,1758,1.0807736063708762
OR,2020-10,Passenger,11,7,18,1744,1762,1.0215664018161181
OR,2020-11,Passenger,11,7,18,1725,1743,1.0327022375215147
OR,2020-12,Passenger,12,7,19,1713,1732,1.0969976905311778
OR,2021-01,Passenger,12,6,18,1685,1703,1.0569583088667058
OR,2021-02,Passenger,12,6,18,1672,1690,1.0650887573964496
OR,2021-03,Passenger,13,7,20,1702,1722,1.1614401858304297
OR,2021-04,Passenger,11,7,18,1705,1723,1.044689495066744
OR,2021-05,Passenger,11,7,18,1682,1700,1.0588235294117647
OR,2021-06,Passenger,10,7,17,1667,1684,1.009501187648456
OR,2021-07,Passenger,10,8,18,1655,1673,1.0759115361625822
OR,2021-08,Passenger,10,9,19,1633,1652,1.1501210653753027
OR,2021-09,Passenger,10,8,18,1612,1630,1.1042944785276074
OR,2021-10,Passenger,10,8,18,1605,1623,1.1090573012939002
OR,2021-11,Passenger,11,8,19,1588,1607,1.1823273179838207
OR,2021-12,Passenger,10,8,18,1226,1244,1.4469453376205788
OR,2022-01,Passenger,9,7,16,1209,1225,1.306122448979592
OR,2022-02,Passenger,9,7,16,1193,1209,1.3234077750206783
OR,2022-03,Passenger,8,7,15,1219,1234,1.2155591572123177
OR,2022-04,Passenger,7,7,14,1187,1201,1.1656952539550374
OR,2022-05,Passenger,7,7,14,1153,1167,1.1996572407883461
OR,2022-06,Passenger,7,6,13,1132,1145,1.1353711790393013
OR,2022-07,Passenger,7,6,13,1109,1122,1.1586452762923352
OR,2022-08,Passenger,8,6,14,1078,1092,1.282051282051282
OR,2022-09,Passenger,8,8,16,1406,1422,1.1251758087201125
OR,2022-10,Passenger,8,8,16,1373,1389,1.1519078473722102
OR,2022-11,Passenger,8,7,15,1343,1358,1.1045655375552283
OR,2022-12,Passenger,8,7,15,1327,1342,1.1177347242921014
OR,2023-01,Passenger,8,7,15,1303,1318,1.1380880121396053
OR,2023-02,Passenger,8,7,15,1292,1307,1.1476664116296864
OR,2023-03,Passenger,8,7,15,1255,1270,1.1811023622047243
OR,2023-04,Passenger,8,7,15,1219,1234,1.2155591572123177
OR,2023-05,Passenger,8,7,15,1207,1222,1.227495908346972
OR,2023-06,Passenger,8,7,15,1178,1193,1.2573344509639564
OR,2023-07,Passenger,8,7,15,1152,1167,1.2853470437017995
OR,2023-08,Passenger,7,6,13,859,872,1.4908256880733946
OR,2023-09,Passenger,6,7,13,754,767,1.694915254237288
OR,2023-10,Passenger,6,7,13,730,743,1.7496635262449527
OR,2023-11,Passenger,6,5,11,688,699,1.5736766809728182
OR,2023-12,Passenger,5,5,10,661,671,1.4903129657228018
OR,2024-01,Passenger,5,5,10,651,661,1.5128593040847202
OR,2024-02,Passenger,5,4,9,638,647,1.3910355486862442
OR,2024-03,Passenger,5,4,9,621,630,1.4285714285714286
OR,2024-04,Passenger,5,4,9,600,609,1.477832512315271
OR,2024-05,Passenger,5,4,9,580,589,1.5280135823429541
OR,2024-06,Passenger,4,4,8,562,570,1.4035087719298245
OR,2024-07,Passenger,4,4,8,541,549,1.4571948998178506
OR,2024-08,Passenger,4,4,8,519,527,1.5180265654648957
OR,2024-09,Passenger,4,4,8,500,508,1.574803149606299
OR,2024-10,Passenger,5,5,10,535,545,1.834862385321101
PA,2020-01,Passenger,5,0,5,141,146,3.4246575342465753
PA,2020-02,Passenger,5,0,5,141,146,3.4246575342465753
PA,2020-03,Passenger,4,0,4,143,147,2.7210884353741496
PA,2020-04,Passenger,4,0,4,139,143,2.797202797202797
PA,2020-05,Passenger,4,0,4,136,140,2.857142857142857
PA,2020-06,Passenger,4,0,4,135,139,2.877697841726619
PA,2020-07,Passenger,4,0,4,137,141,2.8368794326241136
PA,2020-08,Passenger,4,0,4,134,138,2.898550724637681
PA,2020-09,Passenger,4,0,4,132,136,2.941176470588235
PA,2020-10,Passenger,4,0,4,129,133,3.007518796992481
PA,2020-11,Passenger,4,1,5,126,131,3.816793893129771
PA,2020-12,Passenger,5,1,6,194,200,3.0
PA,2021-01,Passenger,5,1,6,192,198,3.0303030303030303
PA,2021-02,Passenger,6,1,7,191,198,3.535353535353535
PA,2021-03,Passenger,6,1,7,189,196,3.571428571428571
PA,2021-04,Passenger,6,1,7,184,191,3.664921465968586
PA,2021-05,Passenger,6,1,7,180,187,3.7433155080213902
PA,2021-06,Passenger,6,1,7,175,182,3.8461538461538463
PA,2021-07,Passenger,6,1,7,173,180,3.888888888888889
PA,2021-08,Passenger,7,1,8,169,177,4.519774011299435
PA,2021-09,Passenger,6,1,7,153,160,4.375
PA,2021-10,Passenger,6,1,7,147,154,4.545454545454546
PA,2021-11,Passenger,6,1,7,144,151,4.635761589403973
PA,2021-12,Passenger,6,1,7,141,148,4.72972972972973
PA,2022-01,Passenger,6,1,7,141,148,4.72972972972973
PA,2022-02,Passenger,6,1,7,141,148,4.72972972972973
PA,2022-03,Passenger,6,1,7,140,147,4.761904761904762
PA,2022-04,Passenger,6,1,7,140,147,4.761904761904762
PA,2022-05,Passenger,6,1,7,139,146,4.794520547945205
PA,2022-06,Passenger,6,1,7,139,146,4.794520547945205
PA,2022-07,Passenger,6,1,7,186,193,3.6269430051813467
PA,2022-08,Passenger,6,1,7,188,195,3.5897435897435894
PA,2022-09,Passenger,6,1,7,191,198,3.535353535353535
PA,2022-10,Passenger,6,1,7,188,195,3.5897435897435894
PA,2022-11,Passenger,5,0,5,136,141,3.546099290780142
PA,2022-12,Passenger,5,0,5,132,137,3.64963503649635
PA,2023-01,Passenger,4,0,4,132,136,2.941176470588235
PA,2023-02,Passenger,4,0,4,129,133,3.007518796992481
PA,2023-03,Passenger,3,1,4,177,181,2.209944751381215
PA,2023-04,Passenger,3,1,4,173,177,2.2598870056497176
PA,2023-05,Passenger,3,1,4,169,173,2.312138728323699
PA,2023-06,Passenger,2,1,3,106,109,2.7522935779816518
PA,2023-07,Passenger,2,1,3,103,106,2.8301886792452833
PA,2023-08,Passenger,3,1,4,160,164,2.4390243902439024
PA,2023-09,Passenger,4,1,5,158,163,3.067484662576687
PA,2023-10,Passenger,4,1,5,155,160,3.125
PA,2023-11,Passenger,5,1,6,152,158,3.79746835443038
PA,2023-12,Passenger,5,1,6,146,152,3.9473684210526314
PA,2024-01,Passenger,5,1,6,144,150,4.0
PA,2024-02,Passenger,5,1,6,141,147,4.081632653061225
PA,2024-03,Passenger,5,1,6,135,141,4.25531914893617
PA,2024-04,Passenger,5,1,6,132,138,4.3478260869565215
PA,2024-05,Passenger,5,1,6,128,134,4.477611940298507
PA,2024-06,Passenger,4,1,5,127,132,3.787878787878788
PA,2024-07,Passenger,4,1,5,122,127,3.937007874015748
PA,2024-08,Passenger,3,1,4,115,119,3.361344537815126
PA,2024-09,Passenger,3,1,4,113,117,3.418803418803419
PA,2024-10,Passenger,3,1,4,107,111,3.6036036036036037
RI,2020-01,Passenger,0,1,1,85,86,1.1627906976744187
RI,2020-02,Passenger,0,1,1,84,85,1.1764705882352942
RI,2020-03,Passenger,0,1,1,80,81,1.2345679012345678
RI,2020-04,Passenger,0,1,1,81,82,1.2195121951219512
RI,2020-05,Passenger,0,1,1,81,82,1.2195121951219512
RI,2020-06,Passenger,0,1,1,81,82,1.2195121951219512
RI,2020-07,Passenger,0,1,1,80,81,1.2345679012345678
RI,2020-08,Passenger,0,1,1,80,81,1.2345679012345678
RI,2020-09,Passenger,0,1,1,81,82,1.2195121951219512
RI,2020-10,Passenger,0,1,1,81,82,1.2195121951219512
RI,2020-11,Passenger,0,1,1,82,83,1.2048192771084338
RI,2020-12,Passenger,0,1,1,81,82,1.2195121951219512
RI,2021-01,Passenger,0,1,1,80,81,1.2345679012345678
RI,2021-02,Passenger,0,1,1,78,79,1.2658227848101267
RI,2021-03,Passenger,0,1,1,77,78,1.282051282051282
RI,2021-04,Passenger,0,1,1,77,78,1.282051282051282
RI,2021-05,Passenger,0,1,1,76,77,1.2987012987012987
RI,2021-06,Passenger,0,1,1,79,80,1.25
RI,2021-07,Passenger,0,1,1,79,80,1.25
RI,2021-08,Passenger,1,1,2,103,105,1.9047619047619049
RI,2021-09,Passenger,1,1,2,104,106,1.8867924528301887
RI,2021-10,Passenger,1,1,2,99,101,1.9801980198019802
RI,2021-11,Passenger,1,1,2,96,98,2.0408163265306123
RI,2021-12,Passenger,1,1,2,96,98,2.0408163265306123
RI,2022-01,Passenger,1,1,2,99,101,1.9801980198019802
RI,2022-02,Passenger,1,1,2,101,103,1.9417475728155338
RI,2022-03,Passenger,1,1,2,101,103,1.9417475728155338
RI,2022-04,Passenger,1,1,2,100,102,1.9607843137254901
RI,2022-05,Passenger,1,1,2,101,103,1.9417475728155338
RI,2022-06,Passenger,1,1,2,98,100,2.0
RI,2022-07,Passenger,1,1,2,93,95,2.1052631578947367
RI,2022-08,Passenger,1,1,2,91,93,2.1505376344086025
RI,2022-09,Passenger,1,1,2,91,93,2.1505376344086025
RI,2022-10,Passenger,1,1,2,90,92,2.1739130434782608
RI,2022-11,Passenger,1,1,2,89,91,2.197802197802198
RI,2022-12,Passenger,1,1,2,87,89,2.247191011235955
RI,2023-01,Passenger,1,1,2,86,88,2.272727272727273
RI,2023-02,Passenger,1,1,2,85,87,2.2988505747126435
RI,2023-03,Passenger,1,1,2,81,83,2.4096385542168677
RI,2023-04,Passenger,1,1,2,80,82,2.4390243902439024
RI,2023-05,Passenger,1,1,2,80,82,2.4390243902439024
RI,2023-06,Passenger,1,1,2,81,83,2.4096385542168677
RI,2023-07,Passenger,1,1,2,80,82,2.4390243902439024
RI,2023-08,Passenger,1,1,2,80,82,2.4390243902439024
RI,2023-09,Passenger,1,2,3,79,82,3.6585365853658534
RI,2023-10,Passenger,1,2,3,77,80,3.75
RI,2023-11,Passenger,1,2,3,76,79,3.79746835443038
RI,2023-12,Passenger,1,2,3,74,77,3.896103896103896
RI,2024-01,Passenger,1,2,3,70,73,4.10958904109589
RI,2024-02,Passenger,1,2,3,70,73,4.10958904109589
RI,2024-03,Passenger,1,2,3,70,73,4.10958904109589
RI,2024-04,Passenger,1,2,3,71,74,4.054054054054054
RI,2024-05,Passenger,1,2,3,71,74,4.054054054054054
RI,2024-06,Passenger,1,2,3,69,72,4.166666666666666
RI,2024-07,Passenger,0,2,2,48,50,4.0
RI,2024-08,Passenger,0,2,2,48,50,4.0
SC,2020-01,Passenger,1,2,3,316,319,0.9404388714733543
SC,2020-02,Passenger,1,2,3,318,321,0.9345794392523363
SC,2020-03,Passenger,1,2,3,317,320,0.9375
SC,2020-04,Passenger,1,2,3,320,323,0.9287925696594427
SC,2020-05,Passenger,1,2,3,315,318,0.9433962264150944
SC,2020-06,Passenger,1,2,3,312,315,0.9523809523809524
SC,2020-07,Passenger,2,2,4,302,306,1.3071895424836601
SC,2020-08,Passenger,2,2,4,302,306,1.3071895424836601
SC,2020-09,Passenger,2,2,4,297,301,1.3289036544850499
SC,2020-10,Passenger,2,2,4,296,300,1.3333333333333335
SC,2020-11,Passenger,2,2,4,292,296,1.3513513513513513
SC,2020-12,Passenger,2,2,4,292,296,1.3513513513513513
SC,2021-01,Passenger,2,2,4,290,294,1.3605442176870748
SC,2021-02,Passenger,2,2,4,286,290,1.3793103448275863
SC,2021-03,Passenger,2,2,4,286,290,1.3793103448275863
SC,2021-04,Passenger,2,3,5,327,332,1.5060240963855422
SC,2021-05,Passenger,2,3,5,327,332,1.5060240963855422
SC,2021-06,Passenger,1,4,5,323,328,1.524390243902439
SC,2021-07,Passenger,1,4,5,321,326,1.5337423312883436
SC,2021-08,Passenger,1,4,5,319,324,1.5432098765432098
SC,2021-09,Passenger,2,4,6,346,352,1.7045454545454544
SC,2021-10,Passenger,3,5,8,416,424,1.8867924528301887
SC,2021-11,Passenger,3,5,8,410,418,1.9138755980861244
SC,2021-12,Passenger,3,5,8,408,416,1.9230769230769231
SC,2022-01,Passenger,3,5,8,397,405,1.9753086419753085
SC,2022-02,Passenger,3,5,8,388,396,2.0202020202020203
SC,2022-03,Passenger,3,5,8,379,387,2.0671834625323
SC,2022-04,Passenger,3,5,8,373,381,2.099737532808399
SC,2022-05,Passenger,3,5,8,369,377,2.122015915119363
SC,2022-06,Passenger,3,7,10,500,510,1.9607843137254901
SC,2022-07,Passenger,3,6,9,491,500,1.7999999999999998
SC,2022-08,Passenger,3,6,9,486,495,1.8181818181818181
SC,2022-09,Passenger,3,6,9,477,486,1.8518518518518516
SC,2022-10,Passenger,4,6,10,495,505,1.9801980198019802
SC,2022-11,Passenger,4,5,9,465,474,1.89873417721519
SC,2022-12,Passenger,4,5,9,459,468,1.9230769230769231
SC,2023-01,Passenger,4,5,9,452,461,1.9522776572668112
SC,2023-02,Passenger,4,5,9,444,453,1.9867549668874174
SC,2023-03,Passenger,4,5,9,437,446,2.0179372197309418
SC,2023-04,Passenger,4,4,8,397,405,1.9753086419753085
SC,2023-05,Passenger,3,4,7,388,395,1.7721518987341773
SC,2023-06,Passenger,3,4,7,384,391,1.7902813299232736
SC,2023-07,Passenger,3,4,7,374,381,1.837270341207349
SC,2023-08,Passenger,4,4,8,364,372,2.1505376344086025
SC,2023-09,Passenger,3,4,7,317,324,2.1604938271604937
SC,2023-10,Passenger,4,4,8,312,320,2.5
SC,2023-11,Passenger,4,4,8,303,311,2.572347266881029
SC,2023-12,Passenger,4,4,8,298,306,2.6143790849673203
SC,2024-01,Passenger,4,4,8,290,298,2.684563758389262
SC,2024-02,Passenger,4,4,8,278,286,2.797202797202797
SC,2024-03,Passenger,4,4,8,271,279,2.867383512544803
SC,2024-04,Passenger,4,4,8,262,270,2.9629629629629632
SC,2024-05,Passenger,4,4,8,259,267,2.9962546816479403
SC,2024-06,Passenger,4,4,8,252,260,3.076923076923077
SC,2024-07,Passenger,4,4,8,245,253,3.1620553359683794
SC,2024-08,Passenger,3,4,7,234,241,2.904564315352697
SC,2024-09,Passenger,2,4,6,214,220,2.727272727272727
SC,2024-10,Passenger,2,4,6,201,207,2.898550724637681
TN,2020-01,Passenger,0,2,2,103,105,1.9047619047619049
TN,2020-02,Passenger,0,2,2,100,102,1.9607843137254901
TN,2020-03,Passenger,0,2,2,96,98,2.0408163265306123
TN,2020-04,Passenger,0,2,2,97,99,2.0202020202020203
TN,2020-05,Passenger,0,2,2,94,96,2.083333333333333
TN,2020-06,Passenger,0,2,2,95,97,2.0618556701030926
TN,2020-07,Passenger,1,2,3,96,99,3.0303030303030303
TN,2020-08,Passenger,1,2,3,95,98,3.061224489795918
TN,2020-09,Passenger,1,2,3,89,92,3.260869565217391
TX,2020-01,Passenger,20,11,31,2726,2757,1.1244105912223432
TX,2020-02,Passenger,20,11,31,2696,2727,1.1367803447011369
TX,2020-03,Passenger,19,11,30,2669,2699,1.1115227862171175
TX,2020-04,Passenger,19,11,30,2645,2675,1.1214953271028036
TX,2020-05,Passenger,18,11,29,2604,2633,1.1014052411697683
TX,2020-06,Passenger,19,11,30,2570,2600,1.153846153846154
TX,2020-07,Passenger,20,11,31,2546,2577,1.2029491656965465
TX,2020-08,Passenger,20,11,31,2533,2564,1.2090483619344774
TX,2020-09,Passenger,19,11,30,2455,2485,1.2072434607645874
TX,2020-10,Passenger,19,11,30,2441,2471,1.2140833670578712
TX,2020-11,Passenger,20,10,30,2453,2483,1.2082158679017316
TX,2020-12,Passenger,19,12,31,2450,2481,1.2494961708988312
TX,2021-01,Passenger,18,14,32,2329,2361,1.3553578991952562
TX,2021-02,Passenger,19,14,33,2305,2338,1.4114627887082978
TX,2021-03,Passenger,19,15,34,2286,2320,1.4655172413793103
TX,2021-04,Passenger,19,16,35,2299,2334,1.4995715509854326
TX,2021-05,Passenger,20,15,35,2261,2296,1.524390243902439
TX,2021-06,Passenger,20,15,35,2235,2270,1.5418502202643172
TX,2021-07,Passenger,22,15,37,2272,2309,1.6024252923343438
TX,2021-08,Passenger,23,15,38,2235,2273,1.6717993840739112
TX,2021-09,Passenger,24,14,38,2210,2248,1.6903914590747333
TX,2021-10,Passenger,26,15,41,2298,2339,1.7528858486532708
TX,2021-11,Passenger,26,14,40,2282,2322,1.7226528854435832
TX,2021-12,Passenger,25,11,36,2249,2285,1.5754923413566742
TX,2022-01,Passenger,25,12,37,2596,2633,1.4052411697683251
TX,2022-02,Passenger,26,11,37,2570,2607,1.4192558496355965
TX,2022-03,Passenger,29,11,40,2531,2571,1.5558148580318942
TX,2022-04,Passenger,30,12,42,2487,2529,1.6607354685646498
TX,2022-05,Passenger,28,11,39,2262,2301,1.694915254237288
TX,2022-06,Passenger,28,11,39,2227,2266,1.7210944395410415
TX,2022-07,Passenger,27,11,38,2145,2183,1.7407237746220796
TX,2022-08,Passenger,27,11,38,2123,2161,1.7584451642757983
TX,2022-09,Passenger,28,11,39,2212,2251,1.7325633051976899
TX,2022-10,Passenger,25,11,36,2073,2109,1.7069701280227598
TX,2022-11,Passenger,23,11,34,2025,2059,1.6512870325400681
TX,2022-12,Passenger,23,11,34,1982,2016,1.6865079365079365
TX,2023-01,Passenger,24,12,36,2025,2061,1.7467248908296942
TX,2023-02,Passenger,24,13,37,2006,2043,1.811062163485071
TX,2023-03,Passenger,24,13,37,1959,1996,1.8537074148296595
TX,2023-04,Passenger,26,13,39,1925,1964,1.985743380855397
TX,2023-05,Passenger,24,12,36,1886,1922,1.8730489073881373
TX,2023-06,Passenger,22,13,35,1850,1885,1.8567639257294428
TX,2023-07,Passenger,23,13,36,1816,1852,1.9438444924406046
TX,2023-08,Passenger,23,13,36,1772,1808,1.991150442477876
TX,2023-09,Passenger,23,13,36,1719,1755,2.051282051282051
TX,2023-10,Passenger,24,14,38,1700,1738,2.186421173762946
TX,2023-11,Passenger,24,14,38,1670,1708,2.224824355971897
TX,2023-12,Passenger,22,14,36,1585,1621,2.2208513263417644
TX,2024-01,Passenger,24,14,38,1530,1568,2.423469387755102
TX,2024-02,Passenger,24,13,37,1487,1524,2.4278215223097113
TX,2024-03,Passenger,23,15,38,1443,1481,2.5658338960162053
TX,2024-04,Passenger,21,14,35,1335,1370,2.5547445255474455
TX,2024-05,Passenger,20,13,33,1302,1335,2.4719101123595504
TX,2024-06,Passenger,21,12,33,1265,1298,2.5423728813559325
TX,2024-07,Passenger,21,11,32,1202,1234,2.593192868719611
TX,2024-08,Passenger,21,11,32,1152,1184,2.7027027027027026
TX,2024-09,Passenger,20,12,32,1106,1138,2.8119507908611596
TX,2024-10,Passenger,19,9,28,1028,1056,2.6515151515151514
UT,2020-01,Passenger,1,0,1,208,209,0.4784688995215311
UT,2020-02,Passenger,1,0,1,207,208,0.4807692307692308
UT,2020-03,Passenger,1,0,1,209,210,0.4761904761904762
UT,2020-04,Passenger,1,0,1,210,211,0.47393364928909953
UT,2020-05,Passenger,1,1,2,357,359,0.5571030640668524
UT,2020-06,Passenger,1,2,3,354,357,0.8403361344537815
UT,2020-07,Passenger,1,2,3,344,347,0.8645533141210375
UT,2020-08,Passenger,1,2,3,343,346,0.8670520231213872
UT,2020-09,Passenger,1,2,3,339,342,0.8771929824561403
UT,2020-10,Passenger,1,2,3,338,341,0.8797653958944283
UT,2020-11,Passenger,1,2,3,334,337,0.8902077151335311
UT,2020-12,Passenger,1,2,3,334,337,0.8902077151335311
UT,2021-01,Passenger,1,2,3,335,338,0.8875739644970414
UT,2021-02,Passenger,1,2,3,335,338,0.8875739644970414
UT,2021-03,Passenger,1,2,3,335,338,0.8875739644970414
UT,2021-04,Passenger,1,2,3,337,340,0.8823529411764706
UT,2021-05,Passenger,1,1,2,201,203,0.9852216748768473
UT,2021-06,Passenger,1,1,2,195,197,1.015228426395939
UT,2021-07,Passenger,1,1,2,192,194,1.0309278350515463
UT,2021-08,Passenger,1,1,2,189,191,1.0471204188481675
UT,2021-09,Passenger,1,1,2,188,190,1.0526315789473684
UT,2021-10,Passenger,1,1,2,191,193,1.0362694300518136
UT,2021-11,Passenger,1,1,2,189,191,1.0471204188481675
UT,2021-12,Passenger,2,1,3,185,188,1.5957446808510638
UT,2022-01,Passenger,2,1,3,184,187,1.6042780748663104
UT,2022-02,Passenger,2,1,3,181,184,1.6304347826086956
UT,2022-03,Passenger,2,1,3,179,182,1.6483516483516485
UT,2022-04,Passenger,2,1,3,169,172,1.744186046511628
UT,2022-05,Passenger,2,1,3,166,169,1.7751479289940828
UT,2022-06,Passenger,2,1,3,159,162,1.8518518518518516
UT,2022-07,Passenger,2,1,3,155,158,1.89873417721519
UT,2022-08,Passenger,2,1,3,154,157,1.910828025477707
UT,2022-09,Passenger,2,1,3,151,154,1.948051948051948
UT,2022-10,Passenger,2,1,3,149,152,1.9736842105263157
UT,2022-11,Passenger,3,1,4,148,152,2.631578947368421
UT,2022-12,Passenger,3,1,4,160,164,2.4390243902439024
UT,2023-01,Passenger,3,1,4,154,158,2.5316455696202533
UT,2023-02,Passenger,3,1,4,151,155,2.5806451612903225
UT,2023-03,Passenger,4,1,5,151,156,3.205128205128205
UT,2023-04,Passenger,4,1,5,150,155,3.225806451612903
UT,2023-05,Passenger,4,1,5,149,154,3.2467532467532463
UT,2023-06,Passenger,4,1,5,146,151,3.3112582781456954
UT,2023-07,Passenger,6,1,7,155,162,4.320987654320987
UT,2023-08,Passenger,7,1,8,245,253,3.1620553359683794
UT,2023-09,Passenger,9,1,10,242,252,3.968253968253968
UT,2023-10,Passenger,10,1,11,232,243,4.526748971193416
UT,2023-11,Passenger,10,1,11,226,237,4.641350210970464
UT,2023-12,Passenger,10,1,11,221,232,4.741379310344827
UT,2024-01,Passenger,10,1,11,214,225,4.888888888888889
UT,2024-02,Passenger,10,1,11,212,223,4.932735426008969
UT,2024-03,Passenger,10,1,11,201,212,5.188679245283019
UT,2024-04,Passenger,10,1,11,193,204,5.392156862745098
UT,2024-05,Passenger,10,1,11,187,198,5.555555555555555
UT,2024-06,Passenger,8,0,8,169,177,4.519774011299435
UT,2024-07,Passenger,7,0,7,164,171,4.093567251461988
UT,2024-08,Passenger,5,1,6,212,218,2.7522935779816518
UT,2024-09,Passenger,3,1,4,145,149,2.684563758389262
UT,2024-10,Passenger,2,1,3,139,142,2.112676056338028
